10:32-34,イエス、三度自分の死と復活を予告する,20:17-19,,18;31-34,,,,
10:35-45,ヤコブとヨハネの願い,20:20-28,,,,,,
10:46-52,盲人バルティマイを癒やす,20:29-34,,18:35-43,,,,
11:1-11,エルサレムに迎えられる,21:1-11,,19:28-40,,12:12-19,,
11:12-14,いちじくの木を呪う,21:18-19,,,,,,
11:15-19,神殿から商人を追い出す,21:12-17,,19:45-48,,2:13-22,,
11:20-26,枯れたいちじくの木の教訓,21:20-22,,,,,,
11:27-33,権威についての問答,21:23-27,,20:1-8,,,,
12:1-12,「ぶどう園の農夫」のたとえ,21:33-46,,20:9-19,,,,
12:13-17,皇帝への税金,22:15-22,,20:20-26,,,,
12:18-27,復活についての問答,22:23-33,,20:27-40,,,,
12:28-34,最も重要な戒め,22:34-40,,10:25-28,,,,
12:35-37,ダビデの子についての問答,22:41-45,,20:41-44,,,,
12:38-40,律法学者を非難する,23:1-36,,20:45-47,,,,
12:41-44,やもめの献金,,,21:1-4,,,,
13:1-2,神殿の崩壊を予告する,24:1-2,,21:5-6,,,,
13:3-13,終末の徴,24:3-4,,21:7-19,,,,
13:14-23,大きな苦難を予告する,24:15-28,,21:20-24,,,,
13:24-27,人の子が来る,24:29-31,,21:25-28,,,,
13:28-32,いちじくの木の教え,24:32-35,,21:29-33,,,,
13:33-37,目を覚ましていなさい,24:36-44,,,,,,
14:1-2,イエスを殺す計略,26:1-5,,22:1-2,,11:45-53,,
14:3-9,ベタニアで香油を注がれる,26:6-13,,,,12:1-8,,
14:10-11,ユダ、裏切りを企てる,26:14-16,,22:3-6,,,,
14:12-21,過越の食事をする,26:17-25,,22:7-14; 21-23,,13:21-30,,
14:22-25,主の晩餐,26:26-30,,22:15-20,,,,1Cor11:23-25
14:26-31,ペトロの離反を予告する,26:31-35,,22:31-34,,13:36-38,,
14:32-42,ゲッセマネで祈る,26:36-46,,22:39-46,,,,
14:43-50,裏切られ、逮捕される,26:47-56,,22:47-53,,18:3-12,,
14:51-52,一人の若者、逃げる,,,,,,,
14:53-65,最高法院で裁判を受ける,26:57-68,,22:54-55; 63-71,,18:13-14; 19-24,,
14:66-72,ペトロ、イエスを知らないと言う,26:69-75,,22:56-62,,18:15-18; 25-27,,
15:1-5,ピラトから尋問される,27:1-2; 11-14,,23:1-5,,18:28-38,,
15:6-15,死刑の判決を受ける,27:15-26,,23:13-25,,18:39-19:16,,
15:16-20,兵士から侮辱される,27:27-31,,,,19:2-2,,
15:21-32,十字架につけられる,27:32-44,,23:26-43,,19:17-27,,
15:33-41,イエスの死,27:45-56,,23:44-49,,19:28-30,,
15:42-47,墓に葬られる,27:57-61,,23:50-56,,19:38-42,,
16:1-8,復活する,28:1-8,,24:1-12,,20:1-10,,
16:9-11,（結び一）マグダラのマリアに現れる,28:9-10,,,,20:11-18,,
16:12-13,二人の弟子に現れる,,,24:13-35,,,,
16:14-18,弟子たちを派遣する,28:16-20,,24:36-49,,20:19-23,,Acts1:6-8
16:19-20,天に上げられる,,,24:50-53,,,,Acts1:9-11
,,,,,,,,
,結び二,,,,,,,
7:16; 9:14; 46; 11:26; 15:28,底本に節が欠けている箇所の異本による訳文,,,,,,,
